x,y,z
6.415545,2.673871,-39.245316
7.977261,4.066321,-39.636307
8.605048,6.477059,-41.025234
9.205582,8.528827,-39.292526
8.403394,10.803398,-37.591854
7.947044,12.538134,-33.276855
8.052736,14.487272,-31.483383
8.705844,16.131693,-31.624781
9.260318,18.072281,-31.484001
6.166874,0.558461,-38.801369
5.848270,-1.134287,-38.710300
5.958446,-2.880800,-39.058998
6.053451,-4.253900,-39.002697
6.215687,-6.432962,-38.036442
6.932405,-7.945185,-37.623901
8.009988,-8.949352,-37.581882
10.588218,19.063595,-31.127148
12.432532,19.309927,-31.454647
14.002872,18.117197,-31.415808
15.772701,18.286064,-30.732323
17.695328,16.676497,-30.846743
19.512810,15.517868,-30.622580
21.388750,13.784634,-30.491364
10.214794,-9.685826,-37.560806
12.363306,-10.114631,-36.916332
14.822124,-8.876583,-36.909435
16.118816,-7.789356,-36.775078
17.734097,-6.597507,-36.186878
19.119755,-5.201967,-35.172867
20.733753,-4.310652,-34.288078
22.426823,-2.865858,-33.163765
23.366026,-0.970080,-32.830891
24.366005,1.032313,-31.938339
24.468191,3.022428,-31.760069
24.887087,5.149779,-30.772018
24.402000,7.839522,-30.935326
24.253019,10.405870,-30.269518
23.124323,12.044872,-30.429903
-0.275248,14.521234,-36.424259
-1.433628,16.495522,-35.290909
-3.525855,18.342531,-33.686848
-5.679617,19.813578,-31.953249
-6.990259,19.383549,-32.488480
-9.415662,19.066441,-32.586544
-11.738055,18.295681,-32.863297
-13.671128,17.709419,-33.001301
-15.210011,16.988651,-33.295372
-18.277948,12.111710,-34.588314
-16.946878,15.966911,-33.453564
-17.837072,14.243545,-33.928864
-18.831146,10.141653,-35.037575
-18.839880,7.785736,-35.555584
-18.128683,5.799745,-36.006733
-18.281427,4.191428,-36.358074
-17.656891,2.513860,-36.693779
-16.889061,0.277054,-36.919918
-15.487917,-1.761279,-36.910069
-15.630605,-3.737966,-35.982197
-14.867268,-5.294125,-35.691578
-13.481732,-7.387174,-35.304409
-11.834115,-8.818350,-34.250748
-10.115014,-8.933588,-34.246792
0.273504,13.271234,-36.855225
0.338146,11.698878,-37.927589
0.913503,9.638265,-39.489826
0.783580,7.842667,-40.323517
-0.309473,5.674182,-39.593819
-2.146747,4.360887,-38.287601
-2.503141,2.581007,-36.965370
-3.968021,-0.109752,-34.920784
-3.568821,-2.772209,-35.381599
-3.523973,-4.625802,-35.490929
-3.956542,-7.324844,-34.976177
-4.349860,-8.142161,-34.579571
-7.863590,-8.459377,-34.305279
-6.655687,-8.433948,-34.221329
-3.449041,1.199824,-35.965397
8.545878,5.425031,-39.907051
-3.569877,-6.152213,-35.500759
-9.328918,-9.403936,-33.945553
-7.704645,-10.437878,-33.035378
-5.653823,-10.256487,-33.430347
-3.801533,-11.022332,-33.373093
-1.791159,-11.197029,-34.114433
0.288858,-11.908363,-34.615608
2.100343,-11.443049,-35.628502
3.856233,-12.195429,-35.302212
4.870079,-12.277476,-35.452351
6.851219,-12.578448,-34.891506
8.741002,-12.514347,-34.652637
9.985986,-12.221933,-34.708332
11.647655,-11.606100,-35.148335
