x,y,z
6.654086,-12.675444,-60.195473
4.470137,-12.626969,-58.599434
1.945246,-12.757174,-57.946217
-0.287899,-11.874997,-58.037800
-1.953085,-10.661341,-58.768337
-4.395588,-10.117146,-59.816849
9.291110,-13.362013,-61.300014
11.715722,-13.973134,-61.304150
13.552028,-14.224159,-59.685139
16.203613,-14.735700,-53.894405
18.576712,-15.149794,-51.561207
-6.764326,-9.339014,-59.517811
-8.397094,-9.638437,-59.102711
-0.365893,-35.975636,-50.178661
3.381417,-36.719055,-49.780972
5.925639,-37.426617,-48.433178
8.646473,-37.315182,-47.994720
0.859297,-36.768040,-49.746471
-3.069379,-34.504543,-51.231182
-5.745892,-32.699028,-51.851742
-7.454962,-31.478642,-52.503063
-8.935377,-29.415165,-53.722015
-10.357734,-10.708041,-58.420971
20.971306,-14.470031,-49.992161
22.505882,-14.218084,-49.429115
24.517715,-13.689745,-48.781700
27.605400,-13.791599,-48.437523
27.930855,-16.835587,-48.719688
27.353716,-18.958906,-48.787731
11.671303,-36.758297,-47.809170
13.269485,-36.572292,-47.569916
16.661200,-35.645660,-47.068111
19.674553,-33.676815,-46.807369
22.728500,-31.850401,-46.393188
24.442837,-30.511665,-46.151669
24.995937,-28.185081,-47.007843
26.220001,-25.787773,-47.379856
26.221035,-23.625998,-48.024422
26.534693,-21.206892,-48.616798
-10.271004,-27.533104,-54.809036
-11.807693,-26.111549,-55.234905
-13.423584,-23.620125,-55.821159
-12.613089,-12.586799,-57.837482
-13.220490,-14.959661,-57.734894
-13.254912,-22.259119,-56.836758
-13.355482,-20.252949,-57.704674
-13.274569,-17.481445,-57.796310
-15.456970,-18.644556,-56.648335
-16.901127,-16.730310,-55.185978
-17.214960,-14.386869,-55.151035
-17.515253,-11.756390,-55.175358
-18.108734,-9.068933,-54.608871
-17.405462,-5.742075,-54.956753
-17.143860,-2.492408,-54.507267
-16.070494,0.314663,-53.853931
-15.519498,3.868334,-52.874252
-14.862451,6.351109,-52.068344
-13.174623,9.397113,-52.350250
19.950047,1.753081,-56.175663
17.713139,1.783967,-57.709297
15.131672,1.826244,-59.229332
12.466882,1.742839,-60.637089
10.100136,1.552092,-60.777256
7.845748,2.180661,-59.671329
21.832203,1.434268,-55.639420
24.433413,1.654618,-54.478889
27.252577,2.038000,-52.431664
28.364967,4.715082,-51.366234
28.903788,7.014849,-50.576664
29.026621,10.169564,-50.348091
28.866909,13.356050,-50.111042
28.850800,16.565273,-49.823948
27.928446,19.138880,-50.219143
27.157518,21.616854,-50.283501
26.208506,23.311556,-50.693924
25.591047,25.818722,-49.967495
23.619499,26.935154,-51.185215
21.254974,28.519033,-51.676559
18.462599,29.143570,-52.596416
15.546329,29.504904,-53.424557
12.487711,29.495306,-54.052708
9.512911,30.262575,-53.880325
6.632730,29.611906,-54.739811
3.774637,28.397812,-55.615108
1.159796,27.133232,-56.125755
-2.135074,25.184490,-56.116577
-5.313363,23.265694,-55.767345
-7.958392,22.743910,-54.756203
-9.132030,20.492752,-54.666225
-9.676724,18.219393,-54.609856
-10.807635,15.972137,-53.843731
-11.783320,13.975347,-53.183670
-12.605844,11.750648,-52.689587
5.517195,2.969551,-57.796112
3.113685,3.592985,-55.922367
0.646719,4.956890,-53.765476
-2.143300,5.778455,-53.498035
-4.217975,6.534705,-53.709496
-5.428275,8.560661,-53.625591
-6.176538,11.393251,-53.804066
-6.314315,14.551129,-54.464409
-6.080103,16.581642,-54.914742
-5.529608,19.390242,-55.574684
-4.879088,21.517918,-56.020554
