x,y,z
4.886859,-4.951365,-29.893957
6.692475,-16.115387,-26.806183
8.550364,-16.238506,-26.061308
10.523029,-16.109728,-25.504702
12.187423,-15.608314,-24.687202
13.745058,-14.802754,-24.190508
15.091101,-14.088892,-23.754602
16.291798,-13.177170,-23.599800
17.133177,-11.941937,-23.789839
4.658768,-15.788660,-27.279312
3.312368,-15.574784,-27.674252
1.888311,-14.680945,-28.683376
18.274689,-10.152448,-23.452562
18.667934,-8.712583,-23.585146
18.570503,-7.060438,-24.079935
18.887104,-5.108200,-24.156176
18.298088,-3.591846,-24.574457
18.189386,-2.389860,-24.631136
17.650057,-1.175769,-24.870541
17.408806,0.091396,-24.838852
16.038439,1.286978,-24.539478
14.042539,0.212077,-25.018223
12.080954,-0.789789,-25.997971
10.569676,-2.557054,-29.428032
9.382290,-3.328260,-30.217045
7.729347,-3.725244,-31.168797
6.556313,-4.101984,-30.776138
2.935739,-5.064102,-30.103910
0.950801,-5.642526,-30.737221
-1.253339,-5.933655,-30.496296
-2.426436,-7.064073,-29.779438
-2.323438,-8.605093,-29.894979
1.031688,-14.369555,-28.807407
-1.058351,-13.165995,-29.217381
-1.221219,-11.979750,-30.097025
-2.020796,-10.888462,-29.734585
-0.933818,16.632418,-27.772894
0.800880,17.174519,-27.459444
2.157406,17.695892,-26.964781
4.071361,17.787544,-26.499050
5.512401,17.421179,-26.243807
6.884065,16.495378,-25.895733
8.019535,15.035925,-25.965876
8.793157,13.367490,-26.184908
9.903903,11.808514,-26.279390
10.902334,10.400046,-26.308355
11.457345,8.723886,-26.972893
10.869367,6.704042,-28.064425
9.352318,5.430880,-28.928307
7.403781,4.514600,-30.265432
5.828916,3.350209,-31.741144
4.333853,3.011238,-31.457977
2.581397,1.960470,-30.821129
-2.763525,16.093733,-28.141981
-3.635007,14.629272,-28.492483
-5.262158,13.617073,-28.851639
0.410162,2.693514,-28.922703
-1.496244,2.340241,-27.574253
-3.246626,1.970445,-27.643648
-4.557740,0.624184,-28.024776
-6.136250,0.361533,-27.810776
8.557394,4.541137,-29.636658
6.709799,3.703047,-31.220980
-6.690098,12.756678,-29.104860
-7.564783,12.071521,-28.299652
-8.784475,11.103631,-27.750864
-9.404904,9.786252,-27.905573
-9.933083,8.295938,-27.946264
-10.108999,7.163552,-27.918995
-9.860799,5.994211,-27.839012
-9.482160,4.847300,-27.758680
-9.070084,3.531512,-27.461927
-8.696764,2.366228,-27.257647
-8.049648,1.114928,-27.138142
-7.798862,-0.381615,-27.101271
-7.555054,-1.836866,-27.357128
-7.077536,-2.884000,-27.591869
-6.719199,-3.920508,-28.009800
-6.512547,-5.203693,-28.432356
-5.974666,-6.400439,-28.593822
-5.597047,-7.429261,-28.553799
-5.045487,-8.640325,-28.592474
-4.872583,-9.689099,-28.450489
-4.361495,-10.828236,-28.197084
-3.791667,-11.726037,-28.124779
-2.943136,-12.561937,-27.962265
-2.262591,-13.016135,-28.018707
-7.194539,0.269951,-27.346527
1.722125,2.746782,-29.817858
