Landmark,X,Y,Z
Tibial Knee Centre,1.192188,-0.027218,-36.830421
Medial Plateau,15.951846,6.309143,-32.695035
Lateral Plateau,-11.5329,10.028022,-34.421671
Tibial Tuberosity,-7.619681,-17.535407,-14.97757
Medial Malleolus,12.223769,-10.531664,195.707382
Lateral Malleolus,-17.612489,13.394289,198.834879
Ankle Centre,-2.69436,1.431313,197.271131
Posterior Cruciate Ligament,4.628724,18.546663,-28.147377
