Landmark,X,Y,Z
Tibial Knee Centre,0.412569,-0.822512,-29.080271
Medial Plateau,10.625649,-8.414324,-25.806937
Lateral Plateau,2.24076,11.895521,-27.173079
Tibial Tuberosity,-15.082565,-1.748609,-11.763109
Medial Malleolus,-2.33992,-12.551346,155.143289
Lateral Malleolus,2.185535,17.407361,157.618359
Ankle Centre,-0.077193,2.428007,156.380824
Posterior Cruciate Ligament,14.507157,4.211276,-22.205875
