Landmark,X,Y,Z
Tibial Knee Centre,-0.125185,-1.768772,-56.364659
Medial Plateau,9.693789,-24.329386,-50.039334
Lateral Plateau,15.180151,17.797346,-52.672894
Tibial Tuberosity,-27.001562,11.585089,-22.882867
Medial Malleolus,-16.050713,-18.849879,299.810327
Lateral Malleolus,20.370062,27.030197,304.605968
Ankle Centre,2.159674,4.090159,302.208148
Posterior Cruciate Ligament,28.35307,-6.894976,-43.072797
