Landmark,X,Y,Z
HIP CENTRE,-195.7010111610843,-21.53110493542606,242.97862544125692
FEMUR KNEE CENTRE,14.654590157745083,-5.679895046896038,6.227473440084883
MEDIAL EPICONDYLE,-1.6447106954607302,-35.80609512113182,10.051738713489941
LATERAL EPICONDYLE,9.728510399225474,22.23329272652102,19.96858627849847
MEDIAL DISTAL CONDYLE,16.766399650707527,-20.33668059551088,-2.608896527799089
LATERAL DISTAL CONDYLE,20.882887253665572,9.032136531452666,6.59293463448655
MEDIAL POSTERIOR CONDYLE,-7.7008473051838875,-16.45211839995089,-10.250113322563466
LATERAL POSTERIOR CONDYLE,0.3142927968998987,18.364456421525542,-1.6644245647735854
Medial Anterior Cortex,21.34088686107616,-20.15945684138215,26.021152457100076
Lateral Anterior Cortex,27.56106256470251,4.939936879043715,33.831314933059886
Medial Posterior Proximal,-17.77382003497109,-19.31582601613486,8.381985028523863
Lateral Posterior Proximal,-11.886647381523815,15.110290446273691,13.47983715479009
MA_Length,317.0991136,,
TEA_Length,59.9688633,,
AP_Length,46.71778794,,
