Landmark,X,Y,Z
HIP CENTRE,-133.7420958561006,-7.9962851271566056,160.7785718026253
FEMUR KNEE CENTRE,7.418611219880141,-2.0475784722285955,4.597158971715885
MEDIAL EPICONDYLE,-3.4495119097914504,-21.96795374779331,7.605090951628065
LATERAL EPICONDYLE,4.08150808446919,16.745742670087136,13.162030843342595
MEDIAL DISTAL CONDYLE,8.86544682545051,-11.946057689060536,-0.9792366689627274
LATERAL DISTAL CONDYLE,11.56249474031281,7.723498351569835,4.600066827957872
MEDIAL POSTERIOR CONDYLE,-7.334798936312309,-9.49960562667807,-6.27519880097529
LATERAL POSTERIOR CONDYLE,-2.041173094761056,13.773138982822042,-1.1839386916628223
Medial Anterior Cortex,11.728727210399537,-11.289748923173711,18.05189027483762
Lateral Anterior Cortex,15.828588271928577,5.518059613558568,22.80083540850766
Medial Posterior Proximal,-14.140297207246176,-11.043913515531056,6.086362986560594
Lateral Posterior Proximal,-10.238873555607547,11.904750766048645,8.856514437321799
MA_Length,210.6047626,,
TEA_Length,39.82896099,,
AP_Length,31.02811782,,
