Landmark,X,Y,Z
HIP CENTRE,-112.94620911816253,-21.494824861079778,255.20836521977606
FEMUR KNEE CENTRE,12.88528473035759,-1.7891439493588268,2.0750214407375873
MEDIAL EPICONDYLE,0.47869390339130785,-29.125921499896155,8.959102283630983
LATERAL EPICONDYLE,11.137101398261937,23.01259393537981,15.273122208914995
MEDIAL DISTAL CONDYLE,13.016022725933931,-14.824198163960107,-6.143073140313545
LATERAL DISTAL CONDYLE,17.971278289029808,11.514965985464954,1.0429499634619774
MEDIAL POSTERIOR CONDYLE,-9.9615692530761,-11.991688257057834,-7.00904583720196
LATERAL POSTERIOR CONDYLE,-1.924953126590215,19.315647442206117,-1.2243882989611523
Medial Anterior Cortex,23.627917290960088,-14.552737503807794,17.492222680929103
Lateral Anterior Cortex,30.18039607744885,8.028020526691472,22.95765254391789
Medial Posterior Proximal,-14.234152738408277,-14.816906506897416,11.391213908305751
Lateral Posterior Proximal,-8.835518070880244,16.086842633894722,14.659770813073694
MA_Length,283.3696675,,
TEA_Length,53.59004842,,
AP_Length,41.74847384,,
