x,y,z
12.710231,-5.061149,6.437780
13.607104,-7.742253,4.047991
12.653071,-9.316096,1.593437
10.844186,-9.826104,-0.315875
8.698962,-10.468204,-2.649411
5.365864,-9.970624,-3.434610
18.319487,-28.036041,0.652078
16.321690,-28.782961,-1.748534
14.372568,-28.690956,-3.817675
12.555367,-28.392960,-6.554188
10.727625,-28.322992,-7.278320
7.885589,-27.778522,-8.928191
20.134052,-27.445324,2.570019
21.315834,-26.136402,5.532238
22.487804,-24.764801,7.790761
23.591528,-23.447195,9.482304
24.160126,-22.839289,11.446440
19.479231,18.837069,7.711792
18.061390,20.481865,6.212534
16.251760,21.668726,5.547722
14.527099,22.668016,5.088010
12.192913,23.478943,4.615875
10.064074,24.391994,4.419569
7.473349,25.141846,4.021486
20.783300,16.805851,8.952303
21.434015,15.675101,9.720145
22.642101,13.927805,11.154499
23.886499,12.731736,11.808139
25.107777,12.038602,13.272313
26.049160,11.539824,14.408884
5.386293,25.626320,3.991487
26.918600,11.035443,15.833786
27.778078,10.489151,17.687906
27.886944,10.181406,20.099989
28.218174,9.400340,22.691990
28.804104,8.462332,24.700258
28.046316,7.831746,27.888996
27.772228,7.098513,30.737991
24.309374,-22.288593,13.893595
24.570431,-21.664774,16.428600
24.072994,-21.554337,20.050518
13.177615,-2.095401,5.388794
11.183298,0.026403,4.529416
9.978216,2.075300,2.572763
7.936412,3.082870,2.112442
3.109983,-9.347138,-4.762321
0.695303,-9.969232,-6.373630
4.696553,-27.136864,-10.554995
5.197373,4.724759,1.424719
2.808542,5.806240,0.971535
1.184996,7.251854,-0.095286
-1.901109,8.334951,0.446523
-4.091691,10.362764,0.388623
-2.663840,11.953450,-1.024174
-0.755420,13.929626,-1.911965
0.165042,15.472417,-2.010669
1.284648,17.621716,-1.820713
2.223705,19.837191,-1.535891
3.721285,22.019346,-1.040616
4.372499,23.583147,-0.228431
4.658543,25.344137,1.721076
1.575678,-26.998756,-11.526427
-1.328428,-25.861069,-12.376670
-4.860688,-26.034727,-11.549099
-7.514491,-25.788065,-10.744249
-8.392506,-22.441172,-11.449055
-8.168100,-19.294756,-11.212997
-7.838824,-16.645697,-10.373751
-7.500525,-13.598577,-9.025707
-3.937201,-10.512703,-7.944553
-1.332844,-10.097977,-7.400133
23.557707,-20.420563,23.295626
21.646294,-19.586512,26.055246
27.698341,6.014753,33.182201
25.551352,3.379859,36.180222
24.501205,1.537584,35.906586
19.162346,-2.751014,36.968307
19.493687,-16.486786,28.979443
19.048615,-9.973913,32.627178
20.249630,-5.001542,34.646915
18.969336,-13.299096,30.504250
19.735802,-7.100157,33.673630
22.211506,-0.378585,36.363033
21.524437,-18.264654,26.920748
-6.083384,-11.854830,-8.576753
