x,y,z
1.680750,13.613888,14.448112
3.136808,11.196475,13.913810
3.677029,8.192679,12.408272
4.596730,6.304415,11.596946
5.509963,4.223570,9.799247
7.899261,3.715977,10.142068
17.309271,-4.223592,26.695694
16.816593,-5.475436,27.871302
16.790295,-7.556653,28.867104
18.070478,-3.488894,24.861334
18.736242,-3.321944,22.878443
1.748190,1.675187,29.312946
-5.954808,16.385193,31.806601
-4.014593,16.132936,29.784952
-2.638475,16.025249,27.012321
-7.504366,15.791676,33.640339
-8.910292,15.133953,34.961967
-10.783181,14.132953,35.826866
-1.223749,15.761391,24.782887
0.152249,15.599762,22.418098
1.356977,15.406721,18.975740
10.741326,3.347132,10.314081
-12.505144,13.293668,36.485058
-13.679119,12.323843,37.371754
-15.002236,11.172011,37.957088
13.589338,2.676087,10.356679
15.740463,1.590262,10.394815
16.682020,-0.048431,10.706542
17.299364,-0.689999,12.252925
18.291878,-1.701135,15.162644
18.855406,-2.853974,20.421886
18.892174,-2.199147,18.242018
18.750851,-1.807974,16.760439
18.113983,-0.924201,13.732475
-3.348891,16.099129,28.412628
2.543780,14.822828,17.573790
0.409758,1.996125,29.747208
-0.472861,3.838512,31.026348
-1.097800,4.742059,32.360023
-1.985418,4.409807,33.557835
2.808457,0.590618,28.985556
3.020923,-1.175405,29.234217
2.929389,-2.737141,30.140196
-2.914502,3.832195,34.632366
1.636645,-4.089952,30.593582
-4.032712,2.662544,35.400364
1.584299,-5.205098,32.314930
-16.159237,9.789974,38.334133
-17.274124,8.321932,38.819641
-18.640060,6.865417,38.663754
-19.354546,5.762173,38.750374
-18.053818,5.583940,40.107647
-16.973438,4.184256,40.508202
-16.060730,3.379807,40.667744
-15.027559,2.423206,40.705570
-13.866187,1.177709,40.540787
-13.059711,0.185291,40.318386
-11.713822,-0.915737,39.725018
16.770248,-9.278700,29.737156
16.689848,-10.679666,30.403654
16.162582,-12.487723,31.353405
15.510103,-14.200939,32.255371
14.834342,-15.780283,32.373310
13.495950,-17.466043,32.263676
12.421466,-18.518002,32.531841
11.058023,-19.792597,32.728233
-5.035536,1.663825,36.063568
-7.033279,-0.238922,37.172302
-6.030748,0.712914,36.687984
-8.271699,-1.022015,37.841446
-9.432630,-1.282791,38.719021
-10.566851,-0.883481,39.455265
0.702063,-6.684570,32.989166
-0.345535,-8.045817,33.177284
-0.431770,-9.738212,33.814568
-0.987766,-11.517222,33.965801
-1.551278,-13.413796,33.757908
-1.532205,-15.144971,33.717361
9.623088,-20.523922,33.719585
7.920773,-20.856554,34.181831
6.148602,-20.750397,34.606647
3.720746,-20.255968,34.550278
2.294158,-19.792358,34.433926
1.161649,-18.707426,34.482430
0.551329,-17.786814,34.551781
-0.775413,-16.549988,34.009090
0.715036,15.555081,20.322851
-0.667837,15.683858,23.941494
-1.907766,15.935085,26.113495
-4.901879,16.772806,30.935167
