x,y,z
11.090178,-1.684259,2.739026
10.982798,-3.997607,0.035931
9.383639,-4.872957,-1.352518
7.617418,-5.754458,-3.024896
5.046012,-6.125094,-4.366171
2.180120,-5.850229,-4.243813
-0.464623,-5.780990,-4.980671
-3.222266,-5.085989,-4.064397
-6.140443,-4.442687,-1.850655
16.166470,-20.730566,-3.954426
14.229013,-21.651306,-4.787197
12.619493,-22.293365,-5.650715
10.202775,-22.419867,-7.006715
7.856092,-22.157568,-8.461642
5.953835,-21.866943,-10.432405
3.547804,-21.837223,-9.731679
1.211684,-21.300247,-10.184674
-1.367804,-21.822035,-9.526051
-3.007922,-21.251825,-10.098969
18.103529,-20.183264,-2.480200
18.773657,-19.706152,-1.322945
20.370764,-18.166201,0.399603
21.591259,-17.436157,1.993815
22.779402,-16.940878,4.476557
18.737661,17.720903,3.199336
17.510508,19.398798,3.110688
15.862827,21.087082,2.312670
13.950852,22.523752,1.606754
11.259823,23.498827,2.430612
8.623001,24.629326,1.605140
5.951174,25.488049,2.086524
20.062067,16.075859,3.788043
-5.332612,-20.807396,-9.637852
-8.208923,-19.721117,-9.098934
-10.750216,-20.200726,-6.757724
-12.098658,-19.130583,-6.714430
-13.801128,-19.375757,-4.513564
-14.018742,-16.734758,-5.386337
-13.785609,-14.991462,-4.934739
-13.723994,-13.594801,-4.438969
-13.422431,-11.717529,-3.549017
-9.406131,-4.568486,0.443708
-11.339979,-6.664079,-1.850018
-11.919012,-7.820615,-2.544170
-12.312702,-9.458356,-3.490986
23.482885,-16.602781,7.375902
21.540245,14.972193,4.768549
23.327065,14.196674,5.965684
25.108166,13.638587,7.194643
26.402857,13.035904,8.908204
27.592791,12.348912,11.523202
28.294094,11.850018,13.666954
29.555767,10.625116,15.359526
29.475449,10.224156,18.775003
29.647566,9.767257,21.292789
29.646030,8.609778,24.557644
24.964211,-15.475233,9.441987
24.819250,-15.187041,12.064231
24.758238,-15.053833,15.002196
24.297329,-13.900045,16.996878
23.800873,-12.704233,18.564718
23.270170,-10.933161,19.792900
23.256386,-9.193970,20.114931
22.585165,-7.576380,21.591894
23.064241,-5.737291,21.947783
23.533157,-3.990890,23.189247
24.299576,-2.417566,23.701599
25.527653,-0.638274,23.582916
25.784204,0.795497,24.994989
26.206350,2.366985,25.847464
27.027218,3.643436,25.822191
28.572195,5.236437,24.970770
29.732550,7.109352,24.757931
11.873703,1.259218,1.918933
10.293580,3.267406,1.020337
7.270394,4.875098,0.285010
5.262264,5.822342,0.369070
2.077726,7.464674,0.793261
0.802104,8.904350,-0.040650
-1.529175,10.320644,-0.216836
-3.628590,10.403826,1.496801
2.993948,25.957554,1.804650
-5.444540,11.220990,2.548214
-5.649603,13.968203,1.271001
-5.294350,17.147020,1.024868
-4.283797,19.602695,0.588338
-2.825324,22.480886,0.386352
-1.081287,24.190321,0.286235
0.141183,25.489737,1.165672
4.113207,25.777998,2.514750
1.746385,26.059904,2.195960
